end,value
28-Jul-07,265459
4-Aug-07,261189
11-Aug-07,253811
18-Aug-07,262537
25-Aug-07,254401
1-Sep-07,242213
8-Sep-07,258014
15-Sep-07,244476
22-Sep-07,252373
29-Sep-07,294804
6-Oct-07,302476
13-Oct-07,304015
20-Oct-07,300138
27-Oct-07,322912
3-Nov-07,348743
10-Nov-07,320255
17-Nov-07,323739
24-Nov-07,458764
1-Dec-07,420202
8-Dec-07,390754
15-Dec-07,453232
22-Dec-07,505823
29-Dec-07,522030
5-Jan-08,542613
12-Jan-08,410675
19-Jan-08,365689
26-Jan-08,376337
2-Feb-08,373774
9-Feb-08,322855
16-Feb-08,326893
23-Feb-08,341920
1-Mar-08,337978
8-Mar-08,332746
15-Mar-08,315817
22-Mar-08,337803
29-Mar-08,353804
5-Apr-08,366057
12-Apr-08,324857
19-Apr-08,334910
26-Apr-08,331987
3-May-08,321880
10-May-08,316299
17-May-08,322928
24-May-08,297028
31-May-08,367591
7-Jun-08,345443
14-Jun-08,354308
21-Jun-08,364995
28-Jun-08,397882
5-Jul-08,470720
12-Jul-08,399162
19-Jul-08,373717
26-Jul-08,377593
2-Aug-08,366208
9-Aug-08,335031
16-Aug-08,336542
23-Aug-08,353816
30-Aug-08,330805
6-Sep-08,375821
13-Sep-08,392857
20-Sep-08,387911
27-Sep-08,422855
4-Oct-08,449259
11-Oct-08,412790
18-Oct-08,445523
25-Oct-08,462280
1-Nov-08,536548
8-Nov-08,509556
15-Nov-08,605502
22-Nov-08,534153
29-Nov-08,755824
6-Dec-08,626063
13-Dec-08,715531
20-Dec-08,714832
27-Dec-08,729714
3-Jan-09,952201
10-Jan-09,758267
17-Jan-09,614306
24-Jan-09,675542
31-Jan-09,703452
7-Feb-09,614507
14-Feb-09,600826
21-Feb-09,641007
28-Feb-09,647591
7-Mar-09,596337
14-Mar-09,585612
21-Mar-09,595314
28-Mar-09,618250
4-Apr-09,607945
11-Apr-09,593785
18-Apr-09,577509
25-Apr-09,532055
2-May-09,565425
9-May-09,536209
16-May-09,533381
23-May-09,495599
30-May-09,577358
6-Jun-09,556189
13-Jun-09,567335
20-Jun-09,559069
27-Jun-09,581764
4-Jul-09,672009
11-Jul-09,585230
18-Jul-09,511511
25-Jul-09,468102
1-Aug-09,482044
8-Aug-09,456542
15-Aug-09,455471
22-Aug-09,455637
29-Aug-09,464930
5-Sep-09,410419
12-Sep-09,437541
19-Sep-09,445177
26-Sep-09,452031
3-Oct-09,509430
10-Oct-09,460087
17-Oct-09,495959
24-Oct-09,483239
31-Oct-09,532685
7-Nov-09,474843
14-Nov-09,542524
21-Nov-09,458607
28-Nov-09,670369
5-Dec-09,556979
12-Dec-09,566947
19-Dec-09,557643
26-Dec-09,647004
2-Jan-10,821552
9-Jan-10,654578
16-Jan-10,500995
23-Jan-10,532798
30-Jan-10,506458
6-Feb-10,476004
13-Feb-10,453082
20-Feb-10,469951
27-Feb-10,457655
6-Mar-10,434064
13-Mar-10,408258
20-Mar-10,407933
27-Mar-10,417010
3-Apr-10,510771
10-Apr-10,429918
17-Apr-10,424079
24-Apr-10,395203
1-May-10,408778
8-May-10,409647
15-May-10,405836
22-May-10,413966
29-May-10,393409
5-Jun-10,441777
12-Jun-10,421465
19-Jun-10,439577
26-Jun-10,465935
3-Jul-10,510377
10-Jul-10,496295
17-Jul-10,408009
24-Jul-10,397690
31-Jul-10,421910
7-Aug-10,399811
14-Aug-10,379350
21-Aug-10,378072
28-Aug-10,376716
4-Sep-10,338021
11-Sep-10,378003
18-Sep-10,367960
25-Sep-10,369612
2-Oct-10,458277
9-Oct-10,388731
16-Oct-10,404279
23-Oct-10,416885
30-Oct-10,448441
6-Nov-10,405608
13-Nov-10,461624
20-Nov-10,409770
27-Nov-10,582850
4-Dec-10,488108
11-Dec-10,491512
18-Dec-10,522170
25-Dec-10,575127
1-Jan-11,769574
8-Jan-11,546193
15-Jan-11,481469
22-Jan-11,459470
29-Jan-11,435023
5-Feb-11,419420
12-Feb-11,376283
19-Feb-11,349882
26-Feb-11,403520
5-Mar-11,367515
12-Mar-11,350646
19-Mar-11,353996
26-Mar-11,350538
2-Apr-11,444263
9-Apr-11,377173
16-Apr-11,383814
23-Apr-11,414545
30-Apr-11,393008
7-May-11,357060
14-May-11,372205
21-May-11,376917
28-May-11,362163
4-Jun-11,396361
11-Jun-11,387691
18-Jun-11,401987
25-Jun-11,421457
2-Jul-11,469915
9-Jul-11,463808
16-Jul-11,363924
23-Jul-11,337112
30-Jul-11,351902
6-Aug-11,342375
13-Aug-11,339745
20-Aug-11,332493
27-Aug-11,345722
3-Sep-11,324267
10-Sep-11,349958
17-Sep-11,323902
24-Sep-11,328333
1-Oct-11,401628
8-Oct-11,352034
15-Oct-11,373185
22-Oct-11,365479
29-Oct-11,398887
5-Nov-11,359173
12-Nov-11,436840
19-Nov-11,369338
26-Nov-11,525898
3-Dec-11,432508
10-Dec-11,417267
17-Dec-11,494400
24-Dec-11,536515
31-Dec-11,643085
7-Jan-12,522482
14-Jan-12,412727
21-Jan-12,418416
28-Jan-12,397053
4-Feb-12,360437
11-Feb-12,342439
18-Feb-12,330514
25-Feb-12,365187
3-Mar-12,336230
10-Mar-12,315653
17-Mar-12,319545
24-Mar-12,312980
31-Mar-12,386426
7-Apr-12,367804
14-Apr-12,366661
21-Apr-12,330065
28-Apr-12,337282
5-May-12,321234
12-May-12,326709
19-May-12,342445
26-May-12,320782
2-Jun-12,372953
9-Jun-12,359120
16-Jun-12,365787
23-Jun-12,365804
30-Jun-12,438495
7-Jul-12,450694
14-Jul-12,336361
21-Jul-12,309345
28-Jul-12,317924
4-Aug-12,313359
11-Aug-12,307941
18-Aug-12,308829
25-Aug-12,306870
1-Sep-12,295601
8-Sep-12,327092
15-Sep-12,300093
22-Sep-12,297381
29-Sep-12,325915
6-Oct-12,358918
13-Oct-12,341493
20-Oct-12,336269
27-Oct-12,358826
3-Nov-12,475740
10-Nov-12,400674
17-Nov-12,356975
24-Nov-12,496309
1-Dec-12,425649
8-Dec-12,398216
15-Dec-12,453361
22-Dec-12,487369
29-Dec-12,554755
5-Jan-13,552368
12-Jan-13,432226
19-Jan-13,365055
26-Jan-13,383966
2-Feb-13,356640
9-Feb-13,347166
16-Feb-13,307207
23-Feb-13,331515
2-Mar-13,313710
9-Mar-13,297422
16-Mar-13,312728
23-Mar-13,314810
30-Mar-13,352785
6-Apr-13,355049
13-Apr-13,323051
20-Apr-13,298253
27-Apr-13,298207
4-May-13,317005
11-May-13,299883
18-May-13,315863
25-May-13,290793
1-Jun-13,327564
8-Jun-13,333023
15-Jun-13,333089
22-Jun-13,331683
29-Jun-13,380101
6-Jul-13,406604
13-Jul-13,337047
20-Jul-13,278946
27-Jul-13,285276
3-Aug-13,279267
10-Aug-13,277965
17-Aug-13,276782
24-Aug-13,266435
31-Aug-13,227407
7-Sep-13,269854
14-Sep-13,253096
21-Sep-13,249016
28-Sep-13,332326
5-Oct-13,356825
12-Oct-13,308652
19-Oct-13,321240
26-Oct-13,328734
2-Nov-13,361162
9-Nov-13,324838
16-Nov-13,366823
23-Nov-13,320267
30-Nov-13,460667
7-Dec-13,412169
14-Dec-13,415577
21-Dec-13,450004
28-Dec-13,487837
4-Jan-14,531109
11-Jan-14,412869
18-Jan-14,355154
25-Jan-14,354775
1-Feb-14,357383
8-Feb-14,320403
15-Feb-14,310330
22-Feb-14,315468
1-Mar-14,299729
8-Mar-14,283831
15-Mar-14,271351
22-Mar-14,292651
29-Mar-14,296801
5-Apr-14,315745
12-Apr-14,296861
19-Apr-14,315793
26-Apr-14,286130
3-May-14,268071
10-May-14,284816
17-May-14,272463
24-May-14,260416
31-May-14,308508
7-Jun-14,297752
14-Jun-14,301718
21-Jun-14,302631
28-Jun-14,318720
5-Jul-14,366314
12-Jul-14,283527
19-Jul-14,255088
26-Jul-14,245135
2-Aug-14,266126
9-Aug-14,246604
16-Aug-14,246246
23-Aug-14,247199
30-Aug-14,232495
6-Sep-14,239930
13-Sep-14,237543
20-Sep-14,225576
27-Sep-14,255100
4-Oct-14,270960
11-Oct-14,253746
18-Oct-14,268604
25-Oct-14,264532
1-Nov-14,306833
8-Nov-14,284395
15-Nov-14,355202
22-Nov-14,292905
29-Nov-14,386908
6-Dec-14,325841
13-Dec-14,338434
20-Dec-14,387851
27-Dec-14,438703
3-Jan-15,526816
10-Jan-15,379991
17-Jan-15,279339
24-Jan-15,303771
31-Jan-15,321648
7-Feb-15,275659
14-Feb-15,278697
21-Feb-15,313354
28-Feb-15,275685
7-Mar-15,258061
14-Mar-15,245853
21-Mar-15,238036
28-Mar-15,251816
4-Apr-15,305152
11-Apr-15,277486
18-Apr-15,248455
25-Apr-15,234317
2-May-15,240320
9-May-15,241160
16-May-15,250528
23-May-15,227126
30-May-15,271230
6-Jun-15,255669
13-Jun-15,260649
20-Jun-15,271976
27-Jun-15,300126
4-Jul-15,340438
11-Jul-15,260021
18-Jul-15,228011
25-Jul-15,221763
1-Aug-15,236020
8-Aug-15,226625
15-Aug-15,224238
22-Aug-15,228277
29-Aug-15,229807
5-Sep-15,196989
12-Sep-15,217212
19-Sep-15,212830
26-Sep-15,225049
3-Oct-15,253331
10-Oct-15,230847
17-Oct-15,242901
24-Oct-15,256327
31-Oct-15,288820
7-Nov-15,262960
14-Nov-15,303570
21-Nov-15,261081
28-Nov-15,382352
5-Dec-15,311487
12-Dec-15,317438
19-Dec-15,344346
26-Dec-15,404906
2-Jan-16,500790
9-Jan-16,374925
16-Jan-16,293402
23-Jan-16,309638
30-Jan-16,288340
6-Feb-16,256309
13-Feb-16,247034
20-Feb-16,263699
27-Feb-16,245609
5-Mar-16,235110
12-Mar-16,228996
19-Mar-16,235268
26-Mar-16,242620
2-Apr-16,268387
9-Apr-16,239984
16-Apr-16,243226
23-Apr-16,241494
30-Apr-16,259729
7-May-16,242944
14-May-16,238578
21-May-16,242978
28-May-16,228791
4-Jun-16,263074
11-Jun-16,245408
18-Jun-16,261221
25-Jun-16,265178
2-Jul-16,295510
9-Jul-16,265461
16-Jul-16,229643
23-Jul-16,217783
